COUNTRY,100,101-200,201-500,501-1000,1001-5000,5001-10000,ALL
United States,56,36,60,101,569,1538,3216
United Kingdom,8,11,24,36,63,51,280
Australia,7,3,13,12,7,22,190
Canada,6,5,13,9,39,85,387
China,4,7,29,60,473,572,2565
Netherlands,3,3,5,2,18,23,129
Switzerland,3,2,2,3,15,18,102
Germany,2,6,27,19,73,104,459
Hong Kong,2,1,1,1,5,4,21
Belgium,2,0,3,3,8,12,81
Singapore,2,0,0,2,9,8,44
Denmark,1,2,2,1,3,4,73
Norway,1,2,1,2,15,4,44
Japan,1,1,10,12,180,206,1003
Brazil,1,0,5,8,168,122,1297
Finland,1,0,5,3,7,16,42
Sweden,0,6,4,2,19,2,47
Italy,0,5,16,25,36,22,239
Spain,0,3,13,21,43,27,266
South Korea,0,1,5,13,81,29,375
Israel,0,1,4,2,11,13,44
Portugal,0,1,4,1,33,17,109
New Zealand,0,1,3,2,7,8,55
Taiwan,0,1,2,10,70,34,165
Austria,0,1,2,7,15,20,85
Mexico,0,1,0,6,52,41,1173
France,0,0,13,24,117,75,617
South Africa,0,0,4,4,15,4,121
Ireland,0,0,4,2,13,8,66
Russian Federation,0,0,3,10,128,141,1058
Greece,0,0,3,6,16,7,59
Saudi Arabia,0,0,3,1,28,13,68
Poland,0,0,2,11,63,24,379
Iran,0,0,2,10,141,60,704
Malaysia,0,0,2,4,36,19,374
Czech Rep.,0,0,2,3,16,7,70
Chile,0,0,2,1,36,11,131
Argentina,0,0,2,0,40,33,145
Turkey,0,0,1,9,123,47,213
Hungary,0,0,1,5,12,4,70
Serbia,0,0,1,1,5,8,70
Estonia,0,0,1,0,3,3,31
Slovenia,0,0,1,0,3,2,49
India,0,0,0,13,264,435,5288
Thailand,0,0,0,5,34,46,194
Egypt,0,0,0,3,36,8,73
Indonesia,0,0,0,2,67,197,2595
Romania,0,0,0,2,36,16,99
Jordan,0,0,0,2,18,6,37
United Arab Emirates,0,0,0,2,16,10,69
Pakistan,0,0,0,1,65,45,358
Colombia,0,0,0,1,59,59,293
Viet Nam,0,0,0,1,30,32,180
Bulgaria,0,0,0,1,20,11,54
Slovakia,0,0,0,1,15,4,36
Belarus,0,0,0,1,12,23,57
Kazakhstan,0,0,0,1,9,15,134
Lebanon,0,0,0,1,8,2,46
Lithuania,0,0,0,1,7,5,40
Cyprus,0,0,0,1,6,2,36
Croatia,0,0,0,1,5,6,46
Puerto Rico,0,0,0,1,4,12,37
Qatar,0,0,0,1,4,3,14
Macao,0,0,0,1,3,3,10
Iceland,0,0,0,1,2,2,9
Malta,0,0,0,1,0,1,7
Luxembourg,0,0,0,1,0,0,3
Ukraine,0,0,0,0,46,70,315
Bangladesh,0,0,0,0,39,26,170
Nigeria,0,0,0,0,34,54,279
Algeria,0,0,0,0,31,23,102
Ecuador,0,0,0,0,30,19,65
Iraq,0,0,0,0,26,18,115
Peru,0,0,0,0,19,28,133
Morocco,0,0,0,0,14,4,148
Sri Lanka,0,0,0,0,11,6,61
Kenya,0,0,0,0,9,22,123
Cuba,0,0,0,0,9,6,32
Ethiopia,0,0,0,0,9,5,70
Palestina,0,0,0,0,9,3,29
Philippines,0,0,0,0,8,30,290
Venezuela,0,0,0,0,8,9,66
Other,0,0,0,0,8,7,28
Bosnia and Herzegovina,0,0,0,0,8,5,48
Tunisia,0,0,0,0,7,13,203
Ghana,0,0,0,0,7,10,66
Uganda,0,0,0,0,6,4,67
Tanzania,0,0,0,0,5,8,51
Costa Rica,0,0,0,0,5,7,66
Latvia,0,0,0,0,5,5,50
Zimbabwe,0,0,0,0,5,5,19
Georgia,0,0,0,0,5,3,63
Libya,0,0,0,0,5,3,58
Cameroon,0,0,0,0,5,2,25
Oman,0,0,0,0,4,9,38
Uruguay,0,0,0,0,4,7,41
Kuwait,0,0,0,0,4,3,12
